sat:absolute_orbit,s5p:type,datetime,s3_url,coverage
3321,HCHO,2018-06-04T11:14:48Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/04/S5P_RPRO_L2__HCHO___20180604T111448_20180604T125618_03321_03_020401_20230117T222038/S5P_RPRO_L2__HCHO___20180604T111448_20180604T125618_03321_03_020401_20230117T222038.nc,1.0
3321,NO2,2018-06-04T11:14:48Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/04/S5P_RPRO_L2__NO2____20180604T111448_20180604T125618_03321_03_020400_20221129T164941/S5P_RPRO_L2__NO2____20180604T111448_20180604T125618_03321_03_020400_20221129T164941.nc,1.0
3321,SO2,2018-06-04T11:14:48Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/04/S5P_RPRO_L2__SO2____20180604T111448_20180604T125618_03321_03_020401_20230118T005816/S5P_RPRO_L2__SO2____20180604T111448_20180604T125618_03321_03_020401_20230118T005816.nc,1.0
3335,HCHO,2018-06-05T10:55:46Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/05/S5P_RPRO_L2__HCHO___20180605T105546_20180605T123716_03335_03_020401_20230117T233731/S5P_RPRO_L2__HCHO___20180605T105546_20180605T123716_03335_03_020401_20230117T233731.nc,1.0
3335,NO2,2018-06-05T10:55:46Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/05/S5P_RPRO_L2__NO2____20180605T105546_20180605T123716_03335_03_020400_20221129T165012/S5P_RPRO_L2__NO2____20180605T105546_20180605T123716_03335_03_020400_20221129T165012.nc,1.0
3335,SO2,2018-06-05T10:55:46Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/05/S5P_RPRO_L2__SO2____20180605T105546_20180605T123716_03335_03_020401_20230118T022426/S5P_RPRO_L2__SO2____20180605T105546_20180605T123716_03335_03_020401_20230118T022426.nc,1.0
3349,HCHO,2018-06-06T10:36:45Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/06/S5P_RPRO_L2__HCHO___20180606T103645_20180606T121815_03349_03_020401_20230118T082937/S5P_RPRO_L2__HCHO___20180606T103645_20180606T121815_03349_03_020401_20230118T082937.nc,1.0
3349,NO2,2018-06-06T10:36:45Z,Sentinel-5P/TROPOMI/L2__NO2___/2018/06/06/S5P_RPRO_L2__NO2____20180606T103645_20180606T121815_03349_03_020400_20221129T165850/S5P_RPRO_L2__NO2____20180606T103645_20180606T121815_03349_03_020400_20221129T165850.nc,1.0
3349,SO2,2018-06-06T10:36:45Z,Sentinel-5P/TROPOMI/L2__SO2___/2018/06/06/S5P_RPRO_L2__SO2____20180606T103645_20180606T121815_03349_03_020401_20230118T082936/S5P_RPRO_L2__SO2____20180606T103645_20180606T121815_03349_03_020401_20230118T082936.nc,1.0
3363,HCHO,2018-06-07T10:17:44Z,Sentinel-5P/TROPOMI/L2__HCHO__/2018/06/07/S5P_RPRO_L2__HCHO___20180607T101744_20180607T115913_03363_03_020401_20230118T161543/S5P_RPRO_L2__HCHO___20180607T101744_20180607T115913_03363_03_020401_20230118T161543.nc,1.0
